frame,PathIDX,timestamp,seconds,head_pos,head_euler,head_quaternion,gaze_confidence,gaze_pos,target_pos,gaze_vector,target_vector,gaze_vis_x,gaze_vis_y,target_vis_x,target_vis_y,local_x_axis,local_y_axis,local_z_axis,left_right_eye_center,left_right_eye_center_confidence,left_right_eye_gaze,left_right_eye_forward_gaze,left_right_eye_is_blinking,left_right_eye_pupil_size,calibration_status
2068,99,03/15/2023 10:03:55.8258 PM,610.1644,(-1.7465660_ -0.4592689_ 2.5756510),(2.1219040_ 126.5342000_ 358.8820000),(-0.0003835_ 0.8929988_ -0.0209242_ 0.4495724),0.5,(-1.3332650_ -0.3341257_ 2.3027750),(-0.9164324_ -0.2884191_ 2.2322800),(-0.0295743_ 0.1428180_ 0.4895591),(-0.2221999_ 0.1987000_ 0.8645005),-3.457045,16.26343,-14.41454,12.94426,(-0.5957692_ -0.0194987_ -0.8029192),(0.0181290_ 0.9991241_ -0.0377153),(0.8029513_ -0.0370258_ -0.5948938),(-1.7265130_ -0.4587397_ 2.6014060):(-1.7659680_ -0.4601957_ 2.5501880),0.9:1,(0.0185730_ 0.8913863_ -0.0631026_ 0.4484462):(-0.0692098_ 0.8578786_ 0.1029320_ 0.4986580),(0.7971336_ -0.1291556_ -0.5898288):(0.8413283_ 0.2456303_ -0.4814913),False:False,4.3300000:4.3800000,Good
2069,99,03/15/2023 10:03:55.8405 PM,610.1794,(-1.7463180_ -0.4593712_ 2.5756170),(2.1321720_ 126.5987000_ 358.8851000),(-0.0003304_ 0.8932508_ -0.0209916_ 0.4490683),0.5,(-1.3335650_ -0.3341542_ 2.3020770),(-0.9165411_ -0.2886896_ 2.2313010),(-0.0292675_ 0.1429842_ 0.4894565),(-0.2221999_ 0.1987000_ 0.8645002),-3.421983,16.28459,-14.41455,12.94427,(-0.5966752_ -0.0194437_ -0.8022473),(0.0182631_ 0.9991185_ -0.0377984),(0.8022751_ -0.0372048_ -0.5957941),(-1.7265400_ -0.4585814_ 2.6011430):(-1.7660480_ -0.4600399_ 2.5499660),0.9:1,(0.0186051_ 0.8916050_ -0.0632907_ 0.4479827):(-0.0691038_ 0.8581569_ 0.1027863_ 0.4982230),(0.7964922_ -0.1295301_ -0.5906112):(0.8409013_ 0.2452717_ -0.4824173),False:False,4.3300000:4.3800000,Good
2070,99,03/15/2023 10:03:55.8580 PM,610.1959,(-1.7463550_ -0.4594083_ 2.5755170),(2.1255350_ 126.6266000_ 358.8551000),(-0.0005953_ 0.8933605_ -0.0210573_ 0.4488467),0.5,(-1.3337190_ -0.3336222_ 2.3019200),(-0.9168211_ -0.2885116_ 2.2307220),(-0.0294774_ 0.1434755_ 0.4893790),(-0.2222000_ 0.1987000_ 0.8645005),-3.447007,16.34002,-14.41455,12.94426,(-0.5970727_ -0.0199667_ -0.8019387),(0.0178393_ 0.9991125_ -0.0381579),(0.8019889_ -0.0370891_ -0.5961866),(-1.7263030_ -0.4584663_ 2.6013260):(-1.7658510_ -0.4599816_ 2.5501810),0.9:1,(0.0180031_ 0.8917905_ -0.0631109_ 0.4476635):(-0.0696235_ 0.8583252_ 0.1030345_ 0.4978095),(0.7961717_ -0.1286821_ -0.5912288):(0.8402176_ 0.2461927_ -0.4831390),False:False,4.3300000:4.3800000,Good
2071,99,03/15/2023 10:03:55.8747 PM,610.213,(-1.7462280_ -0.4593232_ 2.5755400),(2.1193150_ 126.6725000_ 358.8327000),(-0.0008030_ 0.8935409_ -0.0210963_ 0.4484853),0.5,(-1.3342150_ -0.3331897_ 2.3009110),(-0.9170306_ -0.2882466_ 2.2300260),(-0.0287361_ 0.1437778_ 0.4894767),(-0.2221999_ 0.1987000_ 0.8645005),-3.359858,16.36951,-14.41454,12.94426,(-0.5977209_ -0.0203578_ -0.8014460),(0.0174878_ 0.9991086_ -0.0384211),(0.8015137_ -0.0369806_ -0.5968320),(-1.7263770_ -0.4585464_ 2.6010270):(-1.7659760_ -0.4600681_ 2.5499160),0.9:1,(0.0179945_ 0.8919666_ -0.0632119_ 0.4472989):(-0.0697993_ 0.8586864_ 0.1034872_ 0.4970676),(0.7956764_ -0.1288636_ -0.5918565):(0.8392038_ 0.2471161_ -0.4844288),False:False,4.3300000:4.4000000,Good
2072,99,03/15/2023 10:03:55.8921 PM,610.2303,(-1.7463240_ -0.4594173_ 2.5754690),(2.1258420_ 126.7346000_ 358.8557000),(-0.0006097_ 0.8937833_ -0.0210570_ 0.4480042),0.5,(-1.3344060_ -0.3332000_ 2.3006530),(-0.9174400_ -0.2885273_ 2.2291110),(-0.0290111_ 0.1439225_ 0.4894645),(-0.2221999_ 0.1987000_ 0.8645003),-3.392018,16.38548,-14.41454,12.94426,(-0.5985838_ -0.0199571_ -0.8008116),(0.0177773_ 0.9991125_ -0.0381870),(0.8008630_ -0.0370944_ -0.5976977),(-1.7262730_ -0.4585271_ 2.6011670):(-1.7659260_ -0.4600363_ 2.5500970),0.9:1,(0.0180615_ 0.8922039_ -0.0632058_ 0.4468236):(-0.0696445_ 0.8589475_ 0.1035334_ 0.4966288),(0.7950324_ -0.1289255_ -0.5927081):(0.8387351_ 0.2470345_ -0.4852822),False:False,4.3300000:4.4000000,Good
2073,99,03/15/2023 10:03:55.9077 PM,610.246,(-1.7461150_ -0.4593452_ 2.5754610),(2.1129990_ 126.7401000_ 358.8678000),(-0.0005662_ 0.8938060_ -0.0209093_ 0.4479657),0.5,(-1.3332200_ -0.3337950_ 2.3023250),(-0.9172711_ -0.2883061_ 2.2290830),(-0.0309424_ 0.1431051_ 0.4892973),(-0.2221999_ 0.1987000_ 0.8645001),-3.618475,16.30265,-14.41455,12.94427,(-0.5986528_ -0.0197454_ -0.8007652),(0.0177212_ 0.9991249_ -0.0378849),(0.8008125_ -0.0368704_ -0.5977790),(-1.7263140_ -0.4586338_ 2.6009490):(-1.7659540_ -0.4600742_ 2.5498680),0.9:1,(0.0183679_ 0.8921400_ -0.0628951_ 0.4469823):(-0.0691678_ 0.8579168_ 0.1031564_ 0.4985514),(0.7952310_ -0.1286427_ -0.5925022):(0.8411610_ 0.2459666_ -0.4816107),False:False,4.3400000:4.4000000,Good
2074,99,03/15/2023 10:03:55.9248 PM,610.2629,(-1.7461990_ -0.4594318_ 2.5754310),(2.1489330_ 126.7674000_ 358.8450000),(-0.0006087_ 0.8939089_ -0.0212786_ 0.4477430),0.5,(-1.3333370_ -0.3342887_ 2.3019680),(-0.9174796_ -0.2888524_ 2.2285280),(-0.0309508_ 0.1429996_ 0.4893786),(-0.2222000_ 0.1987000_ 0.8645002),-3.618852,16.2887,-14.41455,12.94426,(-0.5990516_ -0.0201429_ -0.8004570),(0.0179665_ 0.9990937_ -0.0385873),(0.8005089_ -0.0374972_ -0.5981468),(-1.7263390_ -0.4585687_ 2.6009440):(-1.7660070_ -0.4600492_ 2.5498850),0.9:1,(0.0183179_ 0.8922139_ -0.0635454_ 0.4467449):(-0.0692141_ 0.8581254_ 0.1025358_ 0.4983141),(0.7948561_ -0.1297590_ -0.5927626):(0.8410381_ 0.2449579_ -0.4823396),False:False,4.3400000:4.4000000,Good
2075,99,03/15/2023 10:03:55.9406 PM,610.2796,(-1.7461640_ -0.4592552_ 2.5753450),(2.1497570_ 126.7958000_ 358.8501000),(-0.0005713_ 0.8940196_ -0.0212651_ 0.4475226),0.5,(-1.3341880_ -0.3344414_ 2.3007680),(-0.9176049_ -0.2887075_ 2.2280450),(-0.0297538_ 0.1427019_ 0.4893329),(-0.2221999_ 0.1987000_ 0.8645003),-3.479576,16.25802,-14.41455,12.94426,(-0.5994465_ -0.0200548_ -0.8001636),(0.0180117_ 0.9990950_ -0.0385343),(0.8002123_ -0.0375115_ -0.5985427),(-1.7262630_ -0.4585498_ 2.6008850):(-1.7659080_ -0.4600998_ 2.5497960),0.9:1,(0.0180411_ 0.8923019_ -0.0633932_ 0.4466021):(-0.0692512_ 0.8588288_ 0.1024942_ 0.4971043),(0.7947205_ -0.1292461_ -0.5930564):(0.8396593_ 0.2449001_ -0.4847652),False:False,4.3500000:4.4100000,Good
2076,99,03/15/2023 10:03:55.9584 PM,610.2964,(-1.7462890_ -0.4593584_ 2.5752960),(2.1362760_ 126.7747000_ 358.8497000),(-0.0006231_ 0.8939387_ -0.0211616_ 0.4476888),0.5,(-1.3335870_ -0.3345903_ 2.3013650),(-0.9176345_ -0.2886043_ 2.2283230),(-0.0305221_ 0.1425330_ 0.4895713),(-0.2221996_ 0.1987000_ 0.8645001),-3.567462,16.23231,-14.41453,12.94427,(-0.5991485_ -0.0200617_ -0.8003864),(0.0178336_ 0.9991036_ -0.0383923),(0.8004391_ -0.0372764_ -0.5982537),(-1.7259560_ -0.4587042_ 2.6010960):(-1.7655590_ -0.4602143_ 2.5499730),0.9:1,(0.0183409_ 0.8921291_ -0.0632461_ 0.4469556):(-0.0690136_ 0.8586098_ 0.1025876_ 0.4974959),(0.7951642_ -0.1292425_ -0.5924613):(0.8401498_ 0.2448334_ -0.4839474),False:False,4.3500000:4.4100000,Good
2077,99,03/15/2023 10:03:55.9767 PM,610.3152,(-1.7457360_ -0.4593714_ 2.5754400),(2.1379180_ 126.8068000_ 358.8502000),(-0.0006183_ 0.8940642_ -0.0211721_ 0.4474379),0.5,(-1.3328500_ -0.3343355_ 2.3019360),(-0.9172715_ -0.2886444_ 2.2280000),(-0.0312560_ 0.1427957_ 0.4894342),(-0.2221999_ 0.1987000_ 0.8645003),-3.654032,16.26496,-14.41455,12.94426,(-0.5995981_ -0.0200519_ -0.8000502),(0.0178408_ 0.9991027_ -0.0384116),(0.8001025_ -0.0373051_ -0.5987023),(-1.7258430_ -0.4585891_ 2.6009000):(-1.7654940_ -0.4600891_ 2.5498060),0.9:1,(0.0184593_ 0.8922970_ -0.0632642_ 0.4466128):(-0.0689719_ 0.8581303_ 0.1026814_ 0.4983090),(0.7946869_ -0.1293892_ -0.5930696):(0.8410638_ 0.2449667_ -0.4822893),False:False,4.3700000:4.4300000,Good
2078,99,03/15/2023 10:03:55.9922 PM,610.3306,(-1.7458420_ -0.4594228_ 2.5753750),(2.1234320_ 126.7877000_ 358.8681000),(-0.0005322_ 0.8939912_ -0.0209895_ 0.4475925),0.5,(-1.3322150_ -0.3343794_ 2.3034300),(-0.9172606_ -0.2885433_ 2.2282890),(-0.0327364_ 0.1426466_ 0.4891391),(-0.2221998_ 0.1987000_ 0.8645005),-3.828899,16.25816,-14.41454,12.94426,(-0.5993215_ -0.0197411_ -0.8002651),(0.0178378_ 0.9991183_ -0.0380053),(0.8003098_ -0.0370524_ -0.5984410),(-1.7259630_ -0.4586055_ 2.6013120):(-1.7655330_ -0.4601422_ 2.5501450),0.9:1,(0.0183079_ 0.8921006_ -0.0630617_ 0.4470403):(-0.0691184_ 0.8574594_ 0.1025901_ 0.4994615),(0.7953007_ -0.1288835_ -0.5923572):(0.8423542_ 0.2449777_ -0.4800279),False:False,4.3700000:4.4100000,Good
2079,99,03/15/2023 10:03:56.0085 PM,610.3467,(-1.7457570_ -0.4593088_ 2.5755240),(2.1244410_ 126.7561000_ 358.8640000),(-0.0005538_ 0.8938676_ -0.0210132_ 0.4478381),0.5,(-1.3320860_ -0.3343868_ 2.3033290),(-0.9169898_ -0.2884294_ 2.2288820),(-0.0322974_ 0.1425481_ 0.4893427),(-0.2221999_ 0.1987000_ 0.8645002),-3.776131,16.24112,-14.41455,12.94426,(-0.5988815_ -0.0198111_ -0.8005927),(0.0178309_ 0.9991163_ -0.0380621),(0.8006392_ -0.0370700_ -0.5979990),(-1.7258770_ -0.4585107_ 2.6011950):(-1.7654430_ -0.4600477_ 2.5500250),0.9:1,(0.0183531_ 0.8920770_ -0.0631550_ 0.4470722):(-0.0690860_ 0.8574515_ 0.1024914_ 0.4994996),(0.7953274_ -0.1290885_ -0.5922765):(0.8424320_ 0.2447796_ -0.4799919),False:False,4.3700000:4.4100000,Good
2080,99,03/15/2023 10:03:56.0255 PM,610.3637,(-1.7458120_ -0.4593987_ 2.5755390),(2.1130580_ 126.7461000_ 358.8715000),(-0.0005382_ 0.8938295_ -0.0208953_ 0.4479196),0.5,(-1.3349160_ -0.3331923_ 2.2995520),(-0.9169962_ -0.2883746_ 2.2290850),(-0.0275178_ 0.1438344_ 0.4893731),(-0.2221999_ 0.1987000_ 0.8645002),-3.218394,16.37889,-14.41455,12.94426,(-0.5987355_ -0.0196810_ -0.8007051),(0.0177566_ 0.9991262_ -0.0378358),(0.8007500_ -0.0368715_ -0.5978628),(-1.7259180_ -0.4586338_ 2.6013180):(-1.7655610_ -0.4600421_ 2.5502240),0.9:1,(0.0186270_ 0.8921238_ -0.0628323_ 0.4470127):(-0.0690235_ 0.8597280_ 0.1039624_ 0.4952730),(0.7952406_ -0.1287613_ -0.5924635):(0.8372484_ 0.2471297_ -0.4877931),False:False,4.3500000:4.4300000,Good
2081,99,03/15/2023 10:03:56.0416 PM,610.3801,(-1.7458390_ -0.4592612_ 2.5755410),(2.1277790_ 126.7255000_ 358.9081000),(-0.0001912_ 0.8937477_ -0.0208670_ 0.4480844),0.5,(-1.3347740_ -0.3330958_ 2.2997750),(-0.9167909_ -0.2886004_ 2.2294660),(-0.0275275_ 0.1439353_ 0.4893509),(-0.2221998_ 0.1987000_ 0.8645000),-3.219672,16.39046,-14.41455,12.94427,(-0.5984406_ -0.0190422_ -0.8009408),(0.0183585_ 0.9991291_ -0.0374710),(0.8009567_ -0.0371282_ -0.5975699),(-1.7260180_ -0.4585431_ 2.6012240):(-1.7656130_ -0.4599826_ 2.5500930),0.9:1,(0.0184367_ 0.8919072_ -0.0629229_ 0.4474399):(-0.0692953_ 0.8595070_ 0.1038444_ 0.4956433),(0.7958295_ -0.1287415_ -0.5916766):(0.8376259_ 0.2472015_ -0.4871081),False:False,4.3500000:4.4300000,Good
2082,99,03/15/2023 10:03:56.0580 PM,610.3968,(-1.7459240_ -0.4593850_ 2.5755740),(2.0905030_ 126.7033000_ 358.8848000),(-0.0005154_ 0.8936647_ -0.0206678_ 0.4482589),0.5,(-1.3344910_ -0.3357505_ 2.3012130),(-0.9168770_ -0.2880683_ 2.2298180),(-0.0286857_ 0.1410349_ 0.4890021),(-0.2222000_ 0.1987000_ 0.8645004),-3.357218,16.08829,-14.41455,12.94426,(-0.5981276_ -0.0194502_ -0.8011651),(0.0176079_ 0.9991452_ -0.0374022),(0.8012077_ -0.0364781_ -0.5972737),(-1.7262310_ -0.4585378_ 2.6012460):(-1.7658290_ -0.4599667_ 2.5501210),0.9:1,(0.0182992_ 0.8919016_ -0.0626793_ 0.4474909):(-0.0682852_ 0.8590315_ 0.1016050_ 0.4970699),(0.7959417_ -0.1281849_ -0.5916464):(0.8401212_ 0.2424488_ -0.4851960),False:False,4.3800000:4.4200000,Good
2083,99,03/15/2023 10:03:56.0759 PM,610.4145,(-1.7457580_ -0.4592943_ 2.5756050),(2.1124060_ 126.7253000_ 358.9094000),(-0.0002416_ 0.8937486_ -0.0207422_ 0.4480883),0.5,(-1.3341860_ -0.3359976_ 2.3011600),(-0.9167429_ -0.2884045_ 2.2295630),(-0.0288278_ 0.1408984_ 0.4891116),(-0.2221999_ 0.1987000_ 0.8645001),-3.373063,16.0701,-14.41455,12.94427,(-0.5984337_ -0.0190205_ -0.8009465),(0.0181568_ 0.9991394_ -0.0372931),(0.8009666_ -0.0368601_ -0.5975734),(-1.7259810_ -0.4586171_ 2.6011910):(-1.7655840_ -0.4600046_ 2.5500700),0.9:1,(0.0186572_ 0.8919248_ -0.0626933_ 0.4474277):(-0.0679233_ 0.8590608_ 0.1015735_ 0.4970753),(0.7958044_ -0.1285309_ -0.5917559):(0.8402373_ 0.2420416_ -0.4851979),False:False,4.3800000:4.4200000,Good
2084,1,03/15/2023 10:03:56.0938 PM,610.4322,(-1.7458800_ -0.4593567_ 2.5755770),(2.1184930_ 126.7025000_ 358.9268000),(-0.0000783_ 0.8936588_ -0.0207218_ 0.4482685),0.5,(-1.3345140_ -0.3350402_ 2.3008910),(-0.9166778_ -0.2886256_ 2.2299050),(-0.0282919_ 0.1419872_ 0.4890486),(-0.2222000_ 0.1987000_ 0.8645003),-3.310927,16.18978,-14.41455,12.94426,(-0.5981109_ -0.0187179_ -0.8011949),(0.0184379_ 0.9991412_ -0.0371067),(0.8012013_ -0.0369663_ -0.5972521),(-1.7260630_ -0.4585266_ 2.6015150):(-1.7656230_ -0.4599400_ 2.5503480),0.9:1,(0.0186916_ 0.8917915_ -0.0627444_ 0.4476849):(-0.0682905_ 0.8592793_ 0.1023266_ 0.4964925),(0.7961376_ -0.1286457_ -0.5912828):(0.8392755_ 0.2436656_ -0.4860489),False:False,4.3800000:4.4200000,Good
2085,1,03/15/2023 10:03:56.1097 PM,610.4477,(-1.7457480_ -0.4592363_ 2.5757560),(2.1047410_ 126.7094000_ 358.9346000),(-0.0000724_ 0.8936870_ -0.0205840_ 0.4482185),0.5,(-1.3346130_ -0.3349761_ 2.3004570),(-0.9166036_ -0.2883258_ 2.2300320),(-0.0276993_ 0.1418345_ 0.4892616),(-0.2221999_ 0.1987000_ 0.8645002),-3.240315,16.16661,-14.41455,12.94426,(-0.5982004_ -0.0185816_ -0.8011311),(0.0183229_ 0.9991526_ -0.0368562),(0.8011370_ -0.0367264_ -0.5973530),(-1.7259220_ -0.4585270_ 2.6013680):(-1.7655260_ -0.4599158_ 2.5502330),0.9:1,(0.0188073_ 0.8919926_ -0.0626111_ 0.4472978):(-0.0680973_ 0.8594753_ 0.1024876_ 0.4961464),(0.7956175_ -0.1285222_ -0.5920091):(0.8388928_ 0.2437435_ -0.4866701),False:False,4.3800000:4.4200000,Good
2086,1,03/15/2023 10:03:56.1269 PM,610.4651,(-1.7458670_ -0.4592099_ 2.5758680),(2.0758710_ 126.7066000_ 358.9329000),(-0.0001977_ 0.8936791_ -0.0203653_ 0.4482443),0.5,(-1.3355400_ -0.3354077_ 2.2994670),(-0.9167787_ -0.2878542_ 2.2302320),(-0.0262999_ 0.1411560_ 0.4893633),(-0.2221999_ 0.1987000_ 0.8645002),-3.076289,16.09012,-14.41455,12.94426,(-0.5981541_ -0.0186106_ -0.8011650),(0.0179039_ 0.9991704_ -0.0365773),(0.8011811_ -0.0362229_ -0.5973247),(-1.7261240_ -0.4584101_ 2.6013950):(-1.7657270_ -0.4598143_ 2.5502500),0.9:1,(0.0188875_ 0.8919933_ -0.0627161_ 0.4472782):(-0.0678075_ 0.8601355_ 0.1021242_ 0.4951158),(0.7955692_ -0.1287806_ -0.5920178):(0.8378839_ 0.2428264_ -0.4888618),False:False,4.4300000:4.4200000,Good
2087,1,03/15/2023 10:03:56.1426 PM,610.4808,(-1.7458430_ -0.4591950_ 2.5757250),(2.0953070_ 126.7103000_ 358.9352000),(-0.0001050_ 0.8936916_ -0.0205082_ 0.4482129),0.5,(-1.3355970_ -0.3352914_ 2.2994910),(-0.9167261_ -0.2881432_ 2.2300070),(-0.0264172_ 0.1414159_ 0.4891453),(-0.2221999_ 0.1987000_ 0.8645003),-3.091356,16.12502,-14.41455,12.94426,(-0.5982105_ -0.0185717_ -0.8011240),(0.0181964_ 0.9991588_ -0.0367501),(0.8011326_ -0.0365619_ -0.5973693),(-1.7261760_ -0.4584290_ 2.6013700):(-1.7657710_ -0.4598500_ 2.5502200),0.9:1,(0.0187157_ 0.8919648_ -0.0626480_ 0.4473519):(-0.0679857_ 0.8600905_ 0.1021959_ 0.4951548),(0.7956993_ -0.1285045_ -0.5919030):(0.8378601_ 0.2431223_ -0.4887553),False:False,4.4300000:4.4200000,Good
2088,1,03/15/2023 10:03:56.1590 PM,610.4979,(-1.7460690_ -0.4592878_ 2.5756600),(2.0823320_ 126.6789000_ 358.9295000),(-0.0001943_ 0.8935700_ -0.0204292_ 0.4484587),0.5,(-1.3352000_ -0.3351129_ 2.2996330),(-0.9168054_ -0.2880171_ 2.2304020),(-0.0267012_ 0.1415828_ 0.4895560),(-0.2221997_ 0.1987000_ 0.8645002),-3.12191,16.13021,-14.41454,12.94427,(-0.5977694_ -0.0186706_ -0.8014506),(0.0179760_ 0.9991652_ -0.0366841),(0.8014665_ -0.0363356_ -0.5969348),(-1.7261620_ -0.4584340_ 2.6011480):(-1.7656890_ -0.4598754_ 2.5499410),0.9:1,(0.0187123_ 0.8918661_ -0.0627055_ 0.4475408):(-0.0681416_ 0.8598112_ 0.1023049_ 0.4955958),(0.7959462_ -0.1285989_ -0.5915508):(0.8382952_ 0.2434671_ -0.4878371),False:False,4.4100000:4.4200000,Good
2089,1,03/15/2023 10:03:56.1762 PM,610.5143,(-1.7459020_ -0.4591189_ 2.5755520),(2.0912590_ 126.7032000_ 358.9597000),(0.0000719_ 0.8936644_ -0.0203806_ 0.4482728),0.5,(-1.3353360_ -0.3349269_ 2.2995220),(-0.9167027_ -0.2880992_ 2.2300150),(-0.0266549_ 0.1416806_ 0.4892820),(-0.2221999_ 0.1987000_ 0.8645001),-3.118257,16.14935,-14.41455,12.94427,(-0.5981029_ -0.0181436_ -0.8012139),(0.0184007_ 0.9991692_ -0.0363623),(0.8012080_ -0.0364913_ -0.5972722),(-1.7262100_ -0.4584416_ 2.6010720):(-1.7657510_ -0.4598543_ 2.5498750),0.9:1,(0.0188182_ 0.8919462_ -0.0624358_ 0.4474147):(-0.0679983_ 0.8598474_ 0.1025780_ 0.4954965),(0.7957898_ -0.1282178_ -0.5918442):(0.8381525_ 0.2437886_ -0.4879225),False:False,4.4100000:4.4200000,Good
2090,1,03/15/2023 10:03:56.1927 PM,610.531,(-1.7460850_ -0.4592313_ 2.5754840),(2.0670760_ 126.6895000_ 358.9328000),(-0.0002299_ 0.8936132_ -0.0202972_ 0.4483788),0.5,(-1.3346550_ -0.3349451_ 2.3001230),(-0.9169151_ -0.2877413_ 2.2301100),(-0.0276539_ 0.1415490_ 0.4896371),(-0.2222000_ 0.1987000_ 0.8645003),-3.232539,16.12403,-14.41455,12.94426,(-0.5979129_ -0.0186125_ -0.8013450),(0.0177907_ 0.9991760_ -0.0364818),(0.8013637_ -0.0360695_ -0.5970891),(-1.7258610_ -0.4584441_ 2.6012040):(-1.7653400_ -0.4599043_ 2.5499350),0.9:1,(0.0188312_ 0.8918903_ -0.0622075_ 0.4475570):(-0.0679535_ 0.8595524_ 0.1026429_ 0.4960005),(0.7960007_ -0.1278206_ -0.5916460):(0.8387269_ 0.2438639_ -0.4868960),False:False,4.4400000:4.4200000,Good
2091,1,03/15/2023 10:03:56.2092 PM,610.5476,(-1.7456330_ -0.4591229_ 2.5755260),(2.0834910_ 126.6901000_ 358.9651000),(0.0000861_ 0.8936139_ -0.0202988_ 0.4483773),0.5,(-1.3345350_ -0.3351456_ 2.3001240),(-0.9163620_ -0.2880057_ 2.2302080),(-0.0273446_ 0.1413916_ 0.4893655),(-0.2221999_ 0.1987000_ 0.8645002),-3.198231,16.1155,-14.41455,12.94426,(-0.5979158_ -0.0180492_ -0.8013558),(0.0183569_ 0.9991759_ -0.0362014),(0.8013488_ -0.0363558_ -0.5970917),(-1.7259260_ -0.4583859_ 2.6010700):(-1.7653830_ -0.4598444_ 2.5497840),0.9:1,(0.0189707_ 0.8917787_ -0.0624329_ 0.4477421):(-0.0678644_ 0.8594734_ 0.1023929_ 0.4962011),(0.7962049_ -0.1283406_ -0.5912583):(0.8390457_ 0.2433567_ -0.4866003),False:False,4.4400000:4.4200000,Good
2092,1,03/15/2023 10:03:56.2270 PM,610.5644,(-1.7458100_ -0.4592210_ 2.5753930),(2.0786970_ 126.6605000_ 358.9647000),(0.0000696_ 0.8934985_ -0.0202629_ 0.4486088),0.5,(-1.3351580_ -0.3345776_ 2.2995400),(-0.9163736_ -0.2880294_ 2.2305110),(-0.0264735_ 0.1420291_ 0.4892774),(-0.2221997_ 0.1987000_ 0.8645002),-3.097102,16.18714,-14.41454,12.94427,(-0.5975002_ -0.0180559_ -0.8016654),(0.0183046_ 0.9991788_ -0.0361473),(0.8016598_ -0.0362722_ -0.5966791),(-1.7258790_ -0.4584938_ 2.6013490):(-1.7653220_ -0.4599198_ 2.5500710),0.9:1,(0.0188453_ 0.8916836_ -0.0621860_ 0.4479709):(-0.0681086_ 0.8599467_ 0.1030009_ 0.4952208),(0.7965528_ -0.1277848_ -0.5909097):(0.8376965_ 0.2446081_ -0.4882941),False:False,4.4600000:4.4200000,Good
2093,1,03/15/2023 10:03:56.2427 PM,610.5811,(-1.7455760_ -0.4591243_ 2.5756320),(2.0652730_ 126.6554000_ 358.9843000),(0.0001707_ 0.8934802_ -0.0200815_ 0.4486534),0.5,(-1.3351640_ -0.3345503_ 2.2994170),(-0.9161023_ -0.2878033_ 2.2309050),(-0.0259445_ 0.1418636_ 0.4893402),(-0.2222000_ 0.1987000_ 0.8645002),-3.034939,16.1673,-14.41456,12.94426,(-0.5974202_ -0.0177143_ -0.8017328),(0.0183243_ 0.9991934_ -0.0357317),(0.8017191_ -0.0360380_ -0.5966136),(-1.7259090_ -0.4584139_ 2.6012150):(-1.7653610_ -0.4597869_ 2.5499430),0.9:1,(0.0192322_ 0.8917320_ -0.0620583_ 0.4478759):(-0.0677040_ 0.8599761_ 0.1031125_ 0.4952021),(0.7963835_ -0.1279060_ -0.5911118):(0.8377616_ 0.2444028_ -0.4882853),False:False,4.4600000:4.4200000,Good
2094,1,03/15/2023 10:03:56.2592 PM,610.5979,(-1.7455880_ -0.4591603_ 2.5758190),(2.0666960_ 126.6293000_ 358.9744000),(0.0001035_ 0.8933778_ -0.0201314_ 0.4488550),0.5,(-1.3331620_ -0.3349095_ 2.3020560),(-0.9159734_ -0.2878231_ 2.2314370),(-0.0289079_ 0.1415015_ 0.4895105),(-0.2221998_ 0.1987000_ 0.8645002),-3.37966,16.12286,-14.41454,12.94426,(-0.5970584_ -0.0178873_ -0.8019983),(0.0182571_ 0.9991894_ -0.0358770),(0.8019900_ -0.0360628_ -0.5962479),(-1.7256470_ -0.4584646_ 2.6015140):(-1.7650870_ -0.4598916_ 2.5502300),0.9:1,(0.0188435_ 0.8916245_ -0.0623629_ 0.4480646):(-0.0681592_ 0.8585390_ 0.1024594_ 0.4977624),(0.7966604_ -0.1280947_ -0.5906985):(0.8407297_ 0.2437849_ -0.4834700),False:False,4.4300000:4.4300000,Good
2095,1,03/15/2023 10:03:56.2759 PM,610.6143,(-1.7453400_ -0.4591874_ 2.5758110),(2.0909150_ 126.6433000_ 358.9973000),(0.0003747_ 0.8934300_ -0.0202305_ 0.4487465),0.5,(-1.3330650_ -0.3352273_ 2.3020380),(-0.9157063_ -0.2883059_ 2.2312510),(-0.0288718_ 0.1414247_ 0.4893405),(-0.2221998_ 0.1987000_ 0.8645000),-3.376624,16.11987,-14.41454,12.94427,(-0.5972528_ -0.0174872_ -0.8018622),(0.0188262_ 0.9991812_ -0.0358128),(0.8018320_ -0.0364853_ -0.5964346),(-1.7257420_ -0.4584889_ 2.6013650):(-1.7651790_ -0.4598253_ 2.5500760),0.9:1,(0.0196038_ 0.8916136_ -0.0623228_ 0.4480591):(-0.0674100_ 0.8585213_ 0.1024500_ 0.4978969),(0.7965477_ -0.1287030_ -0.5907183):(0.8410979_ 0.2430374_ -0.4832060),False:False,4.4300000:4.4300000,Good
