Name,pearsonr,pearsonr_recal,ISI,precision
participant-020_callibrate_recal,"[0.43653583786290656, 6.47831389967865e-100]","[0.35055804206736985, 1.1055485130423963e-62]",0.01672198910081744,1.6312217167318592
participant-021_callibrate_recal,"[0.27315149091060337, 3.1150028985464496e-38]","[0.16504543255152632, 1.2042089008315922e-14]",0.0167663856404678,2.018515114289504
participant-022_callibrate_recal,"[0.09008961389813322, 3.699361587643018e-05]","[0.03498887222765554, 0.1097128706937325]",0.016727818727818696,1.502871975548228
participant-023_callibrate_recal,"[0.39798083374928483, 9.538152574784967e-83]","[0.4415872868505413, 1.355108148323069e-103]",0.016756727371568338,1.3220779197044135
participant-024_callibrate_recal,"[0.4118384883778559, 8.473699052875272e-107]","[0.3461555005541955, 6.1535679013594346e-74]",0.01480580753539716,1.7447370881133475
participant-025_callibrate_recal,"[-0.598855868649809, 9.180220405244e-206]","[0.06613679594568797, 0.0023583606842464354]",0.016756653992395402,1.5089670341460142
participant-026_callibrate_recal,"[0.2785454643265319, 1.970553164016514e-39]","[0.5117431632746736, 3.58366582099044e-143]",0.01676779016036966,1.2299922465325743
participant-027_callibrate_recal,"[0.169198838451017, 5.349829735273701e-15]","[0.013365332823103374, 0.539770708608752]",0.01672393675027263,1.2667119464505445
participant-028_callibrate_recal,"[0.08063317273918605, 0.00019922146327460162]","[0.20975980687413945, 1.5089679320442485e-22]",0.016726044492674983,1.2527791597896747
participant-029_callibrate_recal,"[0.5891942022532135, 4.1139111750051256e-199]","[0.5897809073506435, 1.3317716000555841e-199]",0.016723793758480328,1.3915800001722394
participant-030_callibrate_recal,"[-0.021973101285775475, 0.3159328791789393]","[0.03789930494497365, 0.08360628993592505]",0.016763586956521755,1.567364709203787
participant-031_callibrate_recal,"[-0.26243304534935463, 4.061346743750469e-35]","[-0.3459607710346628, 2.3635418356424616e-61]",0.016759345156889496,1.3337111265210708
participant-032_callibrate_recal,"[0.026409970913664878, 0.21984964633978596]","[0.12365137957353992, 8.136362554470172e-09]",0.01675251290410213,1.3471891156017042
participant-033_callibrate_recal,"[0.16605633690583096, 5.3163723309161634e-14]","[0.10257842252845924, 3.6980136805464253e-06]",0.01675799672489083,1.396572250391875
participant-034_callibrate_recal,"[0.5791190320890136, 1.5976856157329066e-189]","[0.42204129241326477, 4.946129104270468e-92]",0.016762619372442004,0.8566500975869403
participant-035_callibrate_recal,"[-0.20048431375424353, 8.85687190891665e-21]","[0.2521825010433195, 2.673199501005073e-32]",0.016758529250956826,2.318057855130107
participant-036_callibrate_recal,"[0.09061743092335323, 4.690732934210466e-05]","[0.07488645704965258, 0.0007746711493607951]",0.016754281054634446,1.7685348888840138
