Name,w1_euc,w1_vec,w1_index,w2_euc,w2_vec,w2_index,w3_euc,w3_vec,w3_index,s4_euc,s4_vec,s4_index,b5_euc,b5_vec,b5_index,callibrate_euc,callibrate_vec,callibrate_index,callibrate_pearsonr,callibrate_pearsonr_recal
participant-011,"[[2.1378415051369886, 0.7773354461521195], [0.6653793113761239, 0.484151888966972], [1.99538431133544, 0.5414397976106814]]",0.18128152793185232,21,"[[1.2219400878864362, 1.98418723468523], [0.6252555941441689, 0.8255199160652165], [0.9058019024819582, 1.6927748608572426]]",0.21626240070463298,0,"[[2.8841273529727456, 1.6783563212899881], [0.7569395815306483, 0.5234183120920504], [2.7557764974860697, 1.5169531300920498]]",0.47177309718020366,5,"[[5.270689872115761, 5.8369136526890335], [2.3665425771870785, 2.4699845200483304], [4.312654204035262, 4.892499989801842]]",2.7548484980234407,16,"[[3.3207072709595544, 2.19683084478672], [1.3864739955641583, 1.083082237089888], [2.809433726995699, 1.7133396255828652]]",0.5708860722310515,7,"[[1.3944649928816304, 2.417552829358379], [0.547392086932512, 1.17090666944146], [1.1819637662962486, 1.9609324613425032]]",1.3892145445408328,16,"[-0.13624327044470014, 3.3655529028411093e-10]","[-0.13219832217071045, 1.1097049894487024e-09]"
participant-012,"[[5.008684819723035, 2.5590677116463385], [1.056885329336541, 1.1224221991243122], [4.789508999733043, 2.181221957834775]]",0.5541496162646145,22,"[[6.455971775734548, 3.190740463907077], [1.3242972964315454, 0.9503706297418767], [6.264864583431166, 2.936681092717086]]",0.1830120437608959,6,"[[5.164343458234659, 1.797908947699327], [1.5858649139512049, 1.1005391967617053], [4.879938616750721, 1.2673038190775658]]",0.43853836889955955,7,"[[4.558220400119766, 2.829651378807335], [1.604006694846686, 1.3065863632022487], [3.90281813261025, 2.167508255414327]]",0.6878403416975448,29,"[[4.774664256169767, 2.19819080687206], [1.3750037214234212, 1.2624443950388617], [4.464403808397304, 1.617285269118671]]",0.5917676872754359,7,"[[6.798312706506617, 5.929358998953655], [2.0824443828972403, 1.9732471858527711], [6.084096569348881, 5.32207519188623]]",3.301888959796875,8,"[0.4824770247345289, 1.97949971680253e-122]","[0.5198644728016735, 3.440833111071084e-145]"
participant-013,"[[4.531676703922386, 5.9797610028856765], [1.2660768246170004, 1.7330454345425859], [4.1868654843317925, 5.6224069477681375]]",1.2281539437689717,29,"[[1.6781793513983505, 4.193536967348561], [0.41695334072345636, 0.8234593136618765], [1.575849917367674, 4.067197786628155]]",0.4564377748573683,0,"[[2.339315280027751, 3.149968386355547], [0.613017172958231, 0.9472451852059253], [2.1540443845768116, 2.8933175706950887]]",0.736735615521623,5,"[[4.940467933773169, 7.968849578274084], [2.0852969808932826, 2.5038461645390035], [4.101112718062957, 7.1147996191489264]]",1.7983158535610062,29,"[[2.4702986170581265, 4.252900827532237], [0.9627381261137516, 1.166040433883145], [2.0991064174007885, 3.9252245878498595]]",1.0370463327409627,11,"[[4.080261290248957, 5.954445179107213], [1.77598112447379, 1.8385180551302678], [3.2742639648875875, 5.4106596794505055]]",3.4092659532082057,17,"[-0.5024295190616468, 1.9986564122512982e-135]","[-0.3328212941467722, 8.940684977777627e-56]"
participant-014,"[[5.068397173644329, 5.771847630304821], [2.8679347763768326, 2.9250904317315025], [3.536300465778041, 4.480577525095352]]",1.206429723941793,28,"[[1.81540640284788, 1.8742356073242976], [0.8112519146826355, 1.0219987791228633], [1.4559924910026285, 1.3268154235938643]]",0.20386949692932266,5,"[[4.779913913409359, 4.860641953096208], [4.097739632918821, 3.5554129635950766], [1.9307546430051317, 2.78634440377221]]",1.0210233955183199,3,"[[8.658294169700708, 8.992263427787757], [5.8531508233362155, 5.55279486875362], [5.338439729921007, 6.040075782375368]]",1.9532960291271537,0,"[[5.124607973582903, 5.368765706989186], [4.120235571711349, 4.113397738085275], [2.1258866765619655, 2.904796101368076]]",1.2078200536449424,14,"[[2.75972963415076, 5.227562197246518], [1.8548456244518983, 1.9434854690387857], [1.8746227056603046, 4.6670728454581205]]",2.4723287952845387,0,"[-0.310306156484667, 5.186398694384823e-41]","[-0.6645519756686491, 3.934842402959596e-227]"
participant-015,"[[2.6212384057732416, 3.8486397515016395], [1.9435777471367697, 2.6103825099290754], [1.523265619864485, 2.2954996681134716]]",0.8684524889928099,29,"[[1.8725109960147837, 2.4640038750991375], [0.8925454922379513, 1.5651434480292474], [1.5102566509058888, 1.4799698767430374]]",0.2995819818110748,29,"[[2.3577591562342968, 2.9134649449799364], [1.4341128182053662, 1.490945145580557], [1.6794395249101826, 2.3327161239277774]]",0.7201496223405818,8,"[[2.4403156353432487, 3.0992406552731313], [1.6117407884169654, 2.0818968346287297], [1.6379581171373674, 1.892926306037476]]",0.7026219791739424,0,"[[2.8870129581901343, 3.540311029624982], [1.3232475729172284, 1.4401300447979613], [2.3741857292281194, 2.9900355435599058]]",0.766360493242223,12,"[[1.988762099609285, 2.6921762521228114], [1.4108573857878495, 1.8173899234857267], [1.1748059499137957, 1.7984417840118088]]",1.448232689874669,0,"[-0.3264639390560909, 1.1341613987102716e-51]","[-0.5518323303185075, 2.6634454907148224e-162]"
participant-016,"[[0.7527746241072465, 0.8433803345095588], [0.4123043992150872, 0.6334898072289156], [0.5319674888485973, 0.439499929836995]]",0.18825841660278772,0,"[[1.0430651294102673, 0.6853031352826049], [0.8529944251564906, 0.4737680339244185], [0.5150239831451927, 0.3662645852470932]]",0.07421809538400852,0,"[[1.7555464779674566, 1.815141840226602], [1.3715807877449189, 1.300733328985918], [0.8915349648670432, 1.0365744787267597]]",0.6022771365013879,6,"[[5.628813580406016, 5.759051071304785], [3.540558726395271, 3.4397995672925745], [3.5134980786588828, 3.738675517641922]]",1.2798925659798943,12,"[[2.775938954892336, 2.725776970455791], [1.7507424832235579, 1.6378251159212938], [1.7832921957386927, 1.8198097851428328]]",0.8084045774091441,13,"[[1.3308514922992327, 1.3828952329992708], [0.8087329549746288, 0.8959856430950358], [0.8991421723291003, 0.8731195544890158]]",0.7929282844944282,15,"[0.7285572824691333, 0.0]","[0.7349208958439151, 0.0]"
participant-017,"[[1.7916611934148472, 1.5280302990684873], [1.187643358759178, 1.0616120756944454], [1.0307151631415787, 0.8631560538888897]]",0.3527252914479761,16,"[[2.3717781292860742, 1.8169283509607008], [1.8106169070874387, 1.494718753754476], [1.243041490698985, 0.7062651166785971]]",0.1986644368937186,21,"[[1.483731651542089, 0.9925740775046461], [1.132908988276885, 0.8235363617391309], [0.794304763824935, 0.4194157635834502]]",0.29282876238907213,5,"[[2.713792356911506, 2.4704325008129837], [2.003414994720847, 1.8006475718419228], [1.3614042083766449, 1.2876362967537043]]",0.554419564932132,8,"[[2.323627336623256, 1.8978564103196172], [1.4238738217761435, 1.2710622640828657], [1.5477066360626281, 1.1422975565512632]]",0.62795994269864,12,"[[1.60747748955854, 1.6837683923726672], [1.2072249257258025, 1.3452352608054647], [0.8668059047621941, 0.878577089559585]]",0.9929574025999115,16,"[0.4989985000442568, 4.532757088558949e-134]","[0.5374024340651142, 3.500855047692571e-159]"
participant-018,"[[1.7762264584883563, 1.6176551566511619], [0.6475761549657328, 0.670728891737892], [1.5432929515289058, 1.3947970007122492]]",0.3562593933604167,0,"[[1.5580875448828444, 1.36248653546114], [1.138238034787481, 0.6713356136732928], [0.9383983358769876, 1.0520663992922026]]",0.15085055156142751,26,"[[0.6866997176241639, 0.6000001229027077], [0.46647469094100463, 0.3775325192434686], [0.41482600220430815, 0.39107716438183177]]",0.15180199459319346,3,"[[2.192670940350954, 1.8926221311200457], [1.3198058998614781, 0.9769148590446365], [1.5525675896703053, 1.4471976820673442]]",0.41274151055708946,17,"[[1.1344619779635259, 1.0201647362533566], [0.7116470423832596, 0.614096685474614], [0.7379579640794637, 0.6833140148749082]]",0.255771160232722,14,"[[1.2188463872671274, 1.4609085573983938], [0.2776819992338819, 0.653830849251468], [1.148864358824692, 1.1348286606800375]]",0.8007124397686446,0,"[0.2779257122146257, 1.428085611183424e-37]","[0.26412795084445373, 5.702400903320044e-34]"
participant-019,"[[1.9315890435432814, 2.899128477368662], [1.0596953808518859, 1.2017884406968657], [1.4513437714087118, 2.4330218833551935]]",0.6877242139110624,29,"[[2.353595762629613, 2.4909514751036492], [1.2240337730813873, 1.1272597436673775], [1.7472992901842435, 1.997708407703746]]",0.27718733061711537,4,"[[2.6062510794837133, 1.8582618615804976], [1.9392376794484558, 0.876853684784506], [1.5460021329367608, 1.5066910253521113]]",0.48039030188523024,6,"[[1.8428029046660281, 3.4620645966875903], [1.0850838500727065, 1.7574737755283425], [1.2531535453643134, 2.688216169139258]]",0.810880145495129,29,"[[2.092644400114151, 2.5818303680495176], [1.59363149287659, 1.9375233975638875], [1.043246142359488, 1.3363414278749988]]",0.6419845201931537,12,"[[1.4025415864440511, 3.547095539374505], [0.8757253428475, 2.0103577400421133], [0.9008478654745398, 2.5664204321389814]]",2.0427431798033204,0,"[0.036966445514489694, 0.0875514440809392]","[-0.1172174355178481, 5.502294263207594e-08]"
participant-020,"[[1.5836026964442733, 1.2063087410453732], [0.6613252885290457, 0.4064730007052188], [1.333897579249517, 1.009771276657263]]",0.2762208855060919,21,"[[1.762983740771462, 1.7701870380068574], [1.0415723066351197, 1.0066331692796635], [1.2898632588902463, 1.3299781900847436]]",0.19680992494981886,2,"[[1.1975835466131801, 0.8300960506769552], [0.324114910790565, 0.48468502587887113], [1.111456222535367, 0.5697542456463227]]",0.27244667652588583,5,"[[2.3812769991651503, 1.9087334140467445], [1.4657170055172124, 1.1008405447698735], [1.6253233443267467, 1.3193633033472802]]",0.4275745836060631,0,"[[2.2297313317498433, 1.348096549867706], [0.8056490533921173, 0.7645363833796484], [1.9321312663701369, 0.9575608237473681]]",0.43848725011148304,15,"[[1.5449163417946308, 1.8012712496635055], [0.7554687327761296, 0.7957145641538476], [1.2538327379352747, 1.4932279224155742]]",1.0787811906052225,16,"[0.43653583786290656, 6.47831389967865e-100]","[0.35055804206736985, 1.1055485130423963e-62]"
participant-021,"[[2.8252033126468366, 3.177767723311027], [1.2635867314271647, 1.1481408957609467], [2.35501222084814, 2.794069641417653]]",0.7152179373348313,0,"[[1.4465214258483008, 1.3907012812188044], [0.5529028318252887, 0.6049889301278473], [1.2425044458375598, 1.148460333034723]]",0.15887444489212896,4,"[[1.871885755618115, 1.5936765361829315], [1.199189894701563, 0.8743493308718662], [1.1923295485116316, 1.1980699692534822]]",0.4397553436053839,7,"[[3.513878813001147, 3.642969288692764], [1.810491088519156, 1.553375680409156], [2.734482889479766, 3.0547666040221926]]",0.8205689336718873,0,"[[1.9160603042051783, 2.078891507690269], [1.101478103180887, 1.0106109910803316], [1.3133939434109982, 1.615660343784973]]",0.5623375498639488,11,"[[1.4958473679804485, 2.1914733514825153], [0.8322010936596056, 0.9705178491622338], [1.042057669655223, 1.793680069235401]]",1.2695164470608398,2,"[0.27315149091060337, 3.1150028985464496e-38]","[0.16504543255152632, 1.2042089008315922e-14]"
participant-022,"[[5.071267871700772, 1.5008055428306106], [4.7309325784305365, 0.9232325418621168], [1.2576074016246053, 0.9698065444207545]]",0.33456248727639015,0,"[[4.713752647055321, 2.5020606079217953], [4.078186263920098, 1.725727624408448], [1.7672297871095228, 1.5805452366197132]]",0.27165891368526107,0,"[[6.089729834031879, 1.2568199010887218], [5.934319014174957, 0.7242317818754376], [0.8325645335612726, 0.9173491080041994]]",0.3851081361800169,5,"[[5.033761848320682, 1.8131679923997022], [4.4194592878283, 0.8718600743036204], [1.7703320181325102, 1.4133778175487497]]",0.40870760122929567,0,"[[4.7806746905952, 1.5915336654306267], [4.5443587508861905, 0.9664914437134908], [1.0286400798924764, 1.0659844546515993]]",0.568230096372876,14,"[[5.9055642615307224, 4.147942570175358], [5.302093913886046, 3.207720161278096], [1.3093106811246207, 1.3438325412314693]]",2.378597965532812,18,"[0.09008961389813322, 3.699361587643018e-05]","[0.03498887222765554, 0.1097128706937325]"
participant-023,"[[0.9450988741681889, 1.1599514808822238], [0.7211169280678085, 0.29524007223001375], [0.46848009521059175, 1.0887674067321178]]",0.26225485249919456,0,"[[0.7516251755010325, 0.5791350266156154], [0.1976559509143533, 0.4015453589164796], [0.6885403541196812, 0.3573022676157085]]",0.06512038724725541,0,"[[0.8871201620575947, 0.670875577031024], [0.27962367998117427, 0.3298081741258634], [0.8090276772213957, 0.5171059446863989]]",0.21346772730656435,5,"[[1.8928842855452717, 2.157174642550089], [1.2356765129205771, 1.0436082425087099], [1.1401131125885187, 1.6814422739512196]]",0.508777467549784,22,"[[1.348328308656368, 1.4470068265705704], [0.8450971118806346, 0.7700073929375196], [0.8742076995214978, 1.0656727988500683]]",0.4624894819153837,12,"[[1.1824340071566837, 1.4045049093409883], [0.9116593047587772, 0.7060129744025974], [0.5154613016029977, 0.9763957554029687]]",0.8078467030660403,0,"[0.39798083374928483, 9.538152574784967e-83]","[0.4415872868505413, 1.355108148323069e-103]"
participant-024,"[[2.281909396039895, 2.52128426270472], [1.6891629918669497, 1.3455339131054138], [1.1225928398150997, 1.6401751548433048]]",0.6054164504852151,29,"[[1.456530178017451, 2.6566251124805147], [0.8369649111226906, 0.7791137771994119], [1.0693373896039318, 2.4277912736693517]]",0.2913139115602506,29,"[[2.47447699770265, 1.5108936034604785], [1.213054979056454, 1.0412920824707972], [2.010337442093686, 0.8847799383760687]]",0.21991194044542953,5,"[[4.876181199638913, 5.265597716670535], [1.6549497497001213, 1.8618054018105847], [4.051119699286287, 4.641249328690818]]",0.9110720313601082,29,"[[3.100528518660828, 3.2771712121552996], [1.9345267085287958, 1.8829746624153785], [1.9578658738531454, 2.1855214988741087]]",0.9299400281136885,16,"[[2.4629400049881824, 3.455720311733], [1.360588395338381, 1.5434859157148366], [1.6835657558455823, 2.732109371745664]]",2.105130979783428,0,"[0.4118384883778559, 8.473699052875272e-107]","[0.3461555005541955, 6.1535679013594346e-74]"
participant-025,"[[3.7667803997775655, 2.019594798597978], [1.5167140528455552, 0.9711551681350961], [3.200534978221832, 1.600493720044051]]",0.4352369736127576,0,"[[4.4816857919705315, 1.5208191060814606], [1.1121516851771818, 0.6652550001217006], [4.284266174253116, 1.2439789293944286]]",0.16328270017939106,0,"[[2.9442310180624296, 2.565025071645776], [1.5036343038854552, 1.5580312752031016], [2.1659188185953298, 1.7121111176078985]]",0.6467551295506576,5,"[[4.389408563586138, 3.118203391242646], [2.075736900173507, 1.9256157404692074], [3.5247140307856513, 2.0664771029325504]]",0.6646515899904719,0,"[[3.968361135186826, 2.251719643303878], [1.7765128624280355, 1.2824510275570336], [3.3016050085756303, 1.5810102365287393]]",0.6301665098644383,14,"[[1.8373809670112697, 3.639336518629018], [0.622362819506782, 1.222099897595647], [1.6485612881750649, 3.2277795732774655]]",2.050316931135425,0,"[-0.598855868649809, 9.180220405244e-206]","[0.06613679594568797, 0.0023583606842464354]"
participant-026,"[[2.1227482910358204, 6.995666450285255], [0.9000207256923407, 2.1743822742616032], [1.6881282464424103, 6.051818266320675]]",1.6000747062899034,29,"[[2.624837197931163, 5.097679976302994], [0.6059984865722209, 1.386416146565495], [2.48400743678849, 4.66481474851408]]",0.5740117396051052,12,"[[2.6834152779571934, 6.85220318984116], [1.440024885402507, 1.5474615365046465], [1.9030699917881522, 6.577939180383119]]",1.548658982526227,5,"[[3.634002519515249, 7.154668685386449], [1.8017604678982804, 3.0178307003584224], [2.8079087290885116, 5.875709999512545]]",1.5932429968417392,19,"[[4.078003508482795, 5.650642781560322], [2.050466369105323, 2.6240276898373116], [3.0716096497357896, 4.704490285135206]]",1.306789978421569,10,"[[1.6831315716805964, 6.6805200855266555], [0.5346828961272311, 1.6970101528364494], [1.4872539355448307, 6.198964314694389]]",3.825111779529855,0,"[0.2785454643265319, 1.970553164016514e-39]","[0.5117431632746736, 3.58366582099044e-143]"
participant-027,"[[2.1602985602818956, 2.175025240368919], [1.210108695985444, 1.447980724449184], [1.497515630441365, 1.371819225302061]]",0.48174876284674345,0,"[[1.1716850898668192, 1.322263556538336], [0.51212692206572, 0.4819564750563377], [0.9914231449206728, 1.1649623129542244]]",0.14787047497707617,2,"[[4.61794921999905, 4.615863465165167], [3.743796811892665, 3.198871149650349], [2.1565169283386894, 2.712778320545453]]",1.0748026777238602,4,"[[5.5266673939736615, 5.3231433333426095], [4.115424776188932, 3.5509800706754935], [3.2720229661644256, 3.541260968036205]]",1.2031863361848614,0,"[[5.106102078729966, 5.06072906510827], [3.3714163933933197, 3.466586684970135], [3.0880679420980335, 2.9327001795645566]]",1.3073854570898211,14,"[[1.4738160989701, 1.595855369740837], [0.9478725647105692, 0.8872103443546275], [0.9075439848668574, 1.1032908588514452]]",1.0285881267544918,16,"[0.169198838451017, 5.349829735273701e-15]","[0.013365332823103374, 0.539770708608752]"
